95/01	Butyrate response factor 2 (5' primers) 	Brf2	M58564	Brf2 	butyrate response factor 2	
95/02	Butyrate response factor 1 (5' primers) 	Brf1	M58566	Brf1 	butyrate response factor 1	
95/03	Somatostatin receptor type 4 (5' primers) 	Smstr4	U26176	Smstr4 	somatostatin receptor 4	
95/04	Glucagon receptor (5' primers) 	Gcgr	L38613	Gcgr 	glucagon receptor	
95/05	Somatostatin receptor isoform 1 (5' primers) 	Smstr1	M81831	Smstr1 	somatostatin receptor 1	
95/06	Somatostatin receptor isoform 2 (5' primers) 	Smstr2	M81832	Smstr2 	somatostatin receptor 2	
95/07	Somatostatin receptor (SSTR3) (5' primers) 	Smstr3	M91000	Smstr3 	somatostatin receptor 3	
95/08	Zinc finger protein-36 (5' primers) 	Zfp36	X14678	Zfp36 	zinc finger protein 36	
95/09	Hepatocyte growth factor 	Hgf	D10213	Hgf 	hepatocyte growth factor	
95/10	Meiosis-specific nuclear structural protein 1 	Mns1	D14849	Mns1 	meiosis-specific nuclear structural protein 1	
95/11	TGF-beta type I receptor 	Tgfbr1	D25540	Tgfbr1 	"transforming growth factor, beta receptor I"	
95/12	Glial cell line derived neurotrophic factor 	Gdnf	D49921	Gdnf 	glial cell line derived neurotrophic factor	
95/13	Pleiotrophin 	Ptn	D90225	Ptn 	pleiotrophin	
95/14	Homeobox B6 	Hoxb6	J03782	Hoxb6 	homeo box B6	
96/277	Immunoglobin gamma-3 V-D-J region and secreted constant region 	null	D14625	Igh-8	immunoglobulin heavy chain 8 (heavy chain of IgG3)
96/278	Immunoglobin kappa chain V-J region and constant region 	null	D14630	Igk-C	"immunoglobulin kappa chain, constant region"
96/279	Male-enhanced antigen (Mea) 	null	D17341	Mea1 	male enhanced antigen 1
96/280	"Alpha-2-glycoprotein 1, zinc  "	Azgp1	D21059	Azgp1 	"alpha-2-glycoprotein 1, zinc"
96/281	Serine/threonine kinase STK-1 	null	D21099	Stk5 	serine/threonine kinase 5
96/282	Mini chromosome maintenance deficient 2 (S. cerevisiae) 	Mcmd2	D26091	Mcmd2 	mini chromosome maintenance deficient 2 (S. cerevisiae)
96/283	Hydroxyacyl-CoA-dehydrogenase 	Hadh	D29639	Hadh 	hydroxylacyl-CoA-dehydrogenase
96/284	Cyclin dependant kinase 5 	Cdk5	D29678	Cdk5 	cyclin dependent kinase 5
96/285	"Trefoil factor 3, intestinal  "	Tff3	D38410	Tff3 	"trefoil factor 3, intestinal"
96/286	Squalene epoxidase 	null	D42048	Sqle 	squalene epoxidase
96/287	Sulphate transporter	null	D42049	Dtd 	diastrophic dysplasia
96/288	"Fructose 1,6-biphosphatase  "	null	D42083	Fbp1 	fructose bisphosphatase 1
96/289	Stromal cell derived factor 1 	Sdf1	D43804	Sdf1 	stromal cell derived factor 1
96/290	Stromal cell derived factor 1 	Sdf1	D43805	Sdf1 	stromal cell derived factor 1	
96/291	Dexamethasone induced product	null	D44443	Sequence not in MGD		Vector/viral sequence.  On CD and Word document - EP FAIL
96/292	"U2 small nuclear ribonucleoprotein auxiliary factor (U2AF), 35 kD, related sequence 2  "	U2af1-rs2	D45205	U2af1-rs2 	"U2 small nuclear ribonucleoprotein auxiliary factor (U2AF), 35 kDa, related sequence 2"	
96/293	Srm (tyrosine kinase) 	null	D49427	Srms	Src-related kinase lacking                                          C-terminal regulatory tyrosine and                                          N-terminal myristylation sites	
96/294	PW29 	null	D49429	Rad21 	RAD21 homolog (S. pombe)	
96/295	TATA box binding protein 	Tbp	D49439	Taf2e 	"TATA box binding protein (Tbp)-associated factor, RNA polymerase II, E"	
96/296	Germ cell specific protein APG-1 	null	D49482	Osp94 	osmotic stress protein 94 kDa	
96/297	"Farnesyltransferase, CAAX box, alpha  "	Fnta	D49744	Fnta 	"farnesyltransferase, CAAX box, alpha"	
96/298	Zinc finger protein of the cerebellum 2 	Zic2	D70848	Zic2 	zinc finger protein of the cerebellum 2	
96/299	Zinc finger protein of the cerebellum 3 	Zic3	D70849	Zic3 	zinc finger protein of the cerebellum 3	
96/300	Seizure related gene 12 	Sez12	D78641	Sez12 	seizure related gene 12	
96/301	"Glucose regulated protein, 78kD  "	Grp78	D78645	Grp78 	"glucose regulated protein, 78 kDa"	
96/302	Phospholipase A2 	null	D78647	Ywhaz 	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	
96/303	Nociceptin/Orphanin FQ 	null	D82866	Npnc1 	neuropeptide nociceptin 1	
96/304	Ubiquitin carboxyl-terminal hydrolase (UBP)	null	D84096	Uchrp 	ubiquintin c-terminal hydrolase related polypeptide 	
96/305	"Protein tyrosine phosphatase, non-receptor type 11  "	Ptpn11	D84372	Ptpn11 	"protein tyrosine phosphatase, non-receptor type 11"	
96/306	Cellular nucleic acid binding protein-like 1 Cnbpl1 	Cnbpl2	L12693	Cnbp	This locus could be either Cnbpl1 or Cnbpl2.
96/307	Natural resistance associated macrophage protein 1 	Nramp1	L13732	Nramp1 	natural resistance-associated macrophage protein 1	
96/308	Glutamic acid decarboxylase 1 	Gad1	L16980	Gad2 	glutamic acid decarboxylase 2	
96/309	Eukaryotic translation elongation factor 1 alpha 	Eef1a2	L26479	Eef1a2 	eukaryotic translation elongation factor 1 alpha	
96/310	Ribosomal protein S29 	Rps29	L31609	Rps29 	ribosomal protein S29	
96/311	MHC class I H2G7 	null	L36068	H2-D 	"histocompatibility 2, D region locus 1"	
96/312	Matrix metalloproteinase 7 	Mmp7	L36244	Mmp7 	matrix metalloproteinase 7	
96/313	LIM homeo box protein 3 	Lhx3	L38248	Lhx3 	LIM homeo box protein 3	
96/314	Lymphotoxin B receptor 	Ltbr	L38423	Ltbr 	lymphotoxin B receptor	
96/315	"Sialyltransferase 8 (alpha-2, 8-sialytransferase) A  "	Siat8a	L38677	Siat8a 	"sialyltransferase 8 (alpha-2, 8-sialytransferase) A"	
96/316	Mad protein 	null	L38926	Mad 	Max dimerization protein	
96/317	Glucokinase activity 	Gk	L38990	Gk 	glucokinase activity	
96/318	Surfactant associated protein 4 	Sftp4	L40156	Sftpd 	surfactant associated protein D	
96/319	Janus kinase 3 	Jak3	L40172	Jak3 	Janus kinase 3	
96/320	"Heat shock protein, 105kD  "	Hsp105	L40406	Hsp105 	"heat shock protein, 105 kDa"	
96/321	Decay accelerating factor 1 	Daf1	L41366	Daf1	decay accelerating factor 1	
96/322	"Hydroxysteroid dehydrogenase 5, delta<5>-3-beta  "	Hsd3b5	L41519	Hsd3b5 	"hydroxysteroid dehydrogenase 5, delta<5>-3-beta"
96/323	Dihydrolipoamide branched chain transacylase E2 	Dbt	L42996	Dbt 	dihydrolipoamide branched chain transacylase E2
96/324	Activin A receptor type II-like kinase 1 	Acvrlk1	L48015	Acvrlk1 	activin A receptor type II-like kinase 1
96/325	Paraoxonase 2 	Pon2	L48514	Pon2 	paraoxonase 2
96/326	"Potassium voltage gated channel, Shab-related subfamily, member 3  "	Kcnb3	L48983	Kcnab2 	"potassium voltage gated channel, shaker related subfamily, beta member 2"
96/327	Cea5	null	L49180	Cea5	carcinoembryonic antigen 5
96/328	Cyclin G 	Ccng	L49507	Ccng 	cyclin G
96/329	Follistatin-like 2 	Fstl2	L75822	Fstl2 	follistatin-like 2
96/330	Paraoxonase 3 	Pon3	L76193	Pon3 	paraoxonase 3
96/331	Calmodulin-dependant phosphodiesterase 	null	L76946	Pde1c 	phosphodiesterase 1C
96/332	Zinc finger protein (kid-1) gene 	null	L77247	Tcf17 	transcription factor 17
96/333	"Protein synthesis elongation factor Tu (eFT-Tu, eEf-1-alpha)  "	null	M22432	Eef1a1	eukaryotic translation elongation factor 1 alpha 1
96/334	Androgen-regulated protein 	null	M22810	Kap 	kidney androgen regulated protein
96/335	Myelin associated-glycoprotein (MAG) 	null	M31811	Mag 	myelin-associated glycoprotein
96/336	"Cytochrome C oxidase, subunit IV  "	Cox4	M37829	Cox4 	"cytochrome C oxidase, subunit IV"
96/337	Amino levulinate synthase	null	M63244	Alas2	"aminolevulinic acid synthase 2, erythroid"
96/338	B-raf oncogene 	null	M64429	Braf	Braf transforming gene	
96/339	"Ribosomal protein S4, X-linked  "	Rps4x	M73436	Rps4x 	"ribosomal protein S4, X-linked"	
96/340	RNA-dependant EIF-2 alpha kinase	null	M93663	Sequence not in MGD		E. coli sequence.  On CD and Word document - No Data
96/341	Bone morphogenic protein 8a 	Bmp8a	M97017	Bmp8a 	bone morphogenetic protein 8a	
96/342	Testis-specific serine/threonine kinase 	Tssk	U01840	Tssk 	testis-specific serine/threonine kinase	
96/343	X-ray repair complementing defective repair in Chinese hamster 	Xrcc1	U02887	Xrcc1 	X-ray repair complementing defective repair in Chinese hamster	
96/344	Transketolase 	Tkt	U05809	Tkt 	transketolase	
96/345	Epidermal surface antigen MS17S1 	Esa	U07890	Esa 	epidermal surface antigen	
96/346	Tetranectin (plasminogen-binding protein) 	Tna	U08595	Tna 	tetranectin (plasminogen-binding protein)	
96/347	"Orphan receptor, TR4  "	Tr4	U11688	Tr4 	"orphan receptor, TR4"	
96/348	Conserved helix-loop-helix ubiquitous kinase 	Chuk	U12473	Chuk 	conserved helix-loop-helix ubiquitous kinase	
96/349	Germinal center expressed transcript 	Gcet	U13263	Gcet 	germinal center expressed transcript	
96/350	Bactrianus MHC class II antigen H-2E alpha precursor (allele w301) 	null	U13649	H2-Ea 	"histocompatibility 2, class II antigen E alpha"	
96/351	Chemokine receptor 	null	U15208	Cmkbr4 	chemokine (C-C) receptor 4	
96/352	Fertilin beta 	Ftnb	U16242	Ftnb 	fertilin beta	
96/353	Eph-related receptor tyrosine kinase ligand 5 	Epl5	U16819	Efnb2 	ephrin B2 	
96/354	Abl-interactor 1 	Abi1	U17698	Abi1 	abl-interactor 1
96/355	Glutaryl Coenzyme A dehydrogenase 	Gcdh	U18992	Gcdh 	glutaryl Coenzyme A dehydrogenase
96/356	Transcription factor LRG-21 	null	U19118	Atf3 	activating transcription factor 3
96/357	Interferon inducible protein 1 	Ifi1	U19119	Ifi1 	interferon inducible protein 1
96/358	Ubiquitin-conjugating enzyme E2H 	Ube2h	U19854	Ube2h 	ubiquitin-conjugating enzyme E2H
96/359	"Putative CCAAT binding factor 1 (mcBF) mRNA, alternatively spliced transcript mCBF1  "	null	U19891	Cebpa-rs1 	"CCAAT/enhancer binding protein alpha (C/EBP), related sequence 1"
96/360	"Putative CCAAT binding factor 2 (mcBF) mRNA, alternatively spliced transcript mCBF2  "	null	U19892	Cebpa-rs1 	"CCAAT/enhancer binding protein alpha (C/EBP), related sequence 1"
96/361	"Calcium channel, B3 subunit  "	Cchb3	U20372	Cacnb3 	calcium channel beta 3 subunit 
96/362	Homeobox Gsh-1 	null	U21224	Gsh1 	genomic screened homeo box 1
96/363	Ac39 / physophilin	null	U21549	Atp6e 	"ATPase, H+ transporting lysosomal vacuolar proton pump 32kDa "
96/364	Facigential dysplasis (Fgd1) 	null	U22325	Fgd1 	faciogenital dysplasia homolog
96/365	"Purinergic receptor P2Y, G-protein coupled 1  "	P2ry1	U22829	P2ry1 	"purinergic receptor P2Y, G-protein coupled 1"
96/366	"Dishevelled 2, dsh homolog (Drosophila)  "	Dvl2	U24160	Dvl2 	"dishevelled 2, dsh homolog (Drosophila)"
96/367	Protoporphyrinogen oxidase 	Ppox	U25114	Ppox 	protoporphyrinogen oxidase
96/368	CD30 	null	U25416	Cd30 	CD30 antigen
96/369	Yolk sac permease-like molecule 1 	Yspl1	U25739	Yspl1 	yolk sac permease-like molecule 1
96/370	Adenosine kinase 	Adk	U26589	Adk 	adenosine kinase
96/371	Sulphated glycoprotein (Sgp1) 	null	U27340	Psap 	prosaposin
96/372	Major intrinsic protein of eye lens fiber 	Mip	U27502	Mip 	major intrinsic protein of eye lens fiber
96/373	"Protein kinase, interferon-inducible double stranded RNA  "	Prkri	U28423	Prkri 	"protein kinase, interferon inducible double stranded RNA"
96/374	HU-antigen D 	Hud	U29088	Hud 	HU-antigen D
96/375	Annexin V 	Anx5	U29396	Anx5 	annexin V
96/376	ADP-ribosyltransferase 1 	Art1	U31510	Art1 	ADP-ribosyltransferase 1
96/377	Acrosomal vesicle protein 1 	Acrv1	U31992	Acrv1 	acrosomal vesicle protein 1
96/378	Mature T-cell proliferation 1 	Mtcp1	U32332	Mtcp1 	mature T-cell proliferation 1
96/379	Paraoxonase 1 	Pon1	U32684	Pon1 	paraoxonase 1
96/380	Lysosomal acid lipase 1 	Lip1	U33169	Cel 	carobyl ester lipase 
96/381	Intranuclear matrix protein 	Inmp	U33198	Inmp 	intranuclear matrix protein
96/382	Fibroblast growth factor 9 	Fgf9	U33535	Fgf9 	fibroblast growth factor 9
96/383	Folypolyglutamyl synthetase 	Fpgs	U33557	Fpgs 	folylpolyglutamyl synthetase
96/384	Promyelocytic leukemia 	Pml	U33626	Pml 	promyelocytic leukemia
96/385	"Potassium inwardly rectifying channel, subfamily J, member 5  "	Kcnj5	U33631	Kcnj5 	"potassium inwardly rectifying channel, subfamily J, member 5"
96/386	RAG (recombination activating gene) cohort 2 	Rch2	U34228	Rch2 	RAG (recombination activating gene) cohort 2
96/387	RAG (recombination activating gene) cohort 1 	Rch1	U34229	Rch1 	RAG (recombination activating gene) cohort 1
96/388	Membrane transporter protein 	Mtrp	U34259	Mtrp 	membrane transporter protein
96/389	"CD8 mRNA, Lyt3a allele  "	null	U34882	Cd8b 	"CD8 antigen, beta chain"
96/390	White homolog (white) 	null	U34920	Abc8 	ATP-binding cassette 8
96/391	Endothelin 1 	Edn1	U35233	Edn1 	endothelin 1
96/392	Menage a trois 1 	Mnat	U35249	Mnat1 	menage a trois 1
96/393	"Histocompatability 2, class II, locus Ma  "	H2-Ma	U35325	H2-Ma 	"histocompatibility 2, class II, locus Ma"
96/394	"Histocompatability 2, class II, locus Mb1  "	H2-Mb1	U35330	H2-Mb1 	"histocompatibility 2, class II, locus Mb1"
96/395	"FK506 binding protein 5, 51kDa  "	Fkbp5	U36220	Fkbp5 	"FK506 binding protein 5, 51 kDa"
96/396	Basic Kruppel-like factor 	Bklf	U36340	Bklf 	basic Kruppel-like factor
96/397	T cell transcription factor NFAT1 isoform B 	null	U36575	Nfatc2 	"nuclear factor of activated T cells, cytoplasmic 2"
96/398	Holocytochrome c synthetase 	Hccs	U36788	Hccs 	holocytochrome c synthetase
96/399	Apoptosis inhibitory protein A 	Aipa	U36842	Aipa 	apoptosis inhibitory protein A
96/400	"Cytochrome P450, 7b1  "	Cyp7b1	U36993	Cyp7b1 	"cytochrome P450, 7b1"
96/401	Vav2 oncogene 	null	U37017	Vav2 	Vav2 oncogene
96/402	"Protein kinase, mitogen activated, kinase 6  "	Prkm6	U39066	Prkmk6 	"protein kinase, mitogen activated, kinase 6"	
96/403	Thymopoietin 	Tmpo	U39073	Tmpo 	thymopoietin	
96/404	Thymopoietin 	Tmpo	U39075	Tmpo 	thymopoietin	
96/405	Thymopoietin 	Tmpo	U39078	Tmpo 	thymopoietin	
96/406	26S Proteasome subunit 4 ATPase 	null	U39302	Psmc1 	"protease (prosome, macropain) 26S subunit, ATPase 1"	
96/407	Histidyl tRNA synthetase 	Hars	U39473	Hars 	histidyl tRNA synthetase	
96/408	FAF1 	null	U39643	Faf1 	Fas-associated factor 1	
96/409	G-protein coupled receptor 25 	Gpcr25	U39827	Gpcr25 	G-protein coupled receptor 25	
96/410	"Synthetic construct T cell receptor beta chain mRNA, human/mouse chimeric"	null	U40406	Sequence not in MGD		Human sequence - synthetic construct.  On CD and Word document - No Data
96/411	"Synthetic construct T cell receptor alpha chain mRNA, human/mouse chimeric"	null	U40407	Sequence not in MGD		Human sequence - synthetic construct.  On CD and Word document - EP FAIL
96/412	Single-minded 2 	Sim2	U40576	Sim2 	single-minded 2	
96/413	Homeo box gene expressed in ES cells 	Hesx1	U40720	Hesx1 	homeo box gene expressed in ES cells	
96/414	"Dishevelled 3, dsh homolog (Drosophila)  "	Dvl3	U41285	Dvl3 	"dishevelled 3, dsh homolog (Drosophila)"	
96/415	B-cell leukemia/lymphoma 6 	Bcl6	U41465	Bcl6 	B-cell leukemia/lymphoma 6	
96/416	Split hand/foot gene 	Shf	U41626	Shfdg1 	split hand/foot deleted gene 1	
96/417	Deubiquitinating enzyme 1 	Dub1	U41636	Dub1 	deubiquitinating enzyme 1	
96/418	Etoposide induced 2.4 mRNA 	Ei24	U41751	Ei24 	etoposide induced 2.4 mRNA
96/419	Fibroblast growth factor inducible 13 	Fin13	U42383	Fin13 	fibroblast growth factor inducible 13
96/420	Fibroblast growth factor inducible 15 	Fin15	U42384	Fin15 	fibroblast growth factor inducible 15
96/421	Fibroblast growth factor inducible 16 	Fin16	U42385	Fin16 	fibroblast growth factor inducible 16
96/422	Fibroblast growth factor inducible 14 	Fin14	U42386	Fin14 	fibroblast growth factor inducible 14
96/423	Mast cell protease 7 	Mcpt7	U42405	Mcpt7 	mast cell protease 7
96/424	Gp91phox (Cybb) 	null	U43384	Cybb 	"cytochrome b-245, beta polypeptide"
96/425	"POU domain, class 2, associating factor 1  "	Pou2af1	U43788	Pou2af1 	"POU domain, class 2, associating factor 1"
96/426	Transcription factor Id1B (Id1B) 	null	U43884	Idb1 	inhibitor of DNA binding 1
96/427	Coagulation factor VII (f VII) 	null	U44795	Cf7 	coagulation factor VII
96/428	"Calcium binding protein, 45kDa  "	Cab45	U45978	Cab45 	"calcium binding protein, 45 kDa"
96/429	Glutamine repeat protein 1 	Glrp1	U46463	Glrp1 	glutamine repeat protein 1
96/430	BIO.BR T-cell receptor alpha-chain precursor 	null	U46581	Tcra-C	"T cell receptor alpha, constant region"
96/431	T-cell receptor beta-chain 	null	U46841	Tcrb-C	"T cell receptor beta, constant region"
96/432	"SHC transforming protein 3, Src homology 2 domain-containing  "	Shc3	U46854	Shc3 	"SHC transforming protein 3, Src homology 2 domain-containing"
96/433	G protein-coupled receptor 	null	U46923	Gpr19 	G protein coupled receptor 19
96/434	Maternal embryonic message 3 	Mem3	U47024	Mem3 	maternal embryonic message 3
96/435	Chemokine (C-C) receptor 5 	Cmkbr5	U47036	Cmkbr5	chemokine (C-C) receptor 1
96/436	Complement component factor i 	Cfi	U47810	Cfi 	complement component factor i
96/437	Transformed mouse 3T3 cell double minute 2? 	Mdm2	U47934	Mdm2 	transformed mouse 3T3 cell double minute 2
96/438	G protein-coupled receptor 1.3 	null	U48235	Gpcr26 	G-protein coupled receptor 26
96/439	Aquaporin 4 	Aqp4	U48397	Aqp4 	aquaporin 4
96/440	"Glutathione S-transferase, theta 2  "	Gstt2	U48420	Gstt2 	"glutathione S-transferase, theta 2"
96/441	Vascular endothelial growth factor related protein 	Vrf	U48800	Vrf 	vascular endothelial growth factor related protein
96/442	v-Crk-associated tyrosine kinase substrate 	Cas	U48853	Cas 	v-Crk-associated tyrosine kinase substrate
96/443	Occludin 	Ocl	U49185	Ocl 	occludin
96/444	Ceruloplasmin 	Cp	U49430	Cp 	ceruloplasmin
96/445	Macrophage inflammatory protein-1 gamma 	null	U49513	Scya9 	small inducible cytokine A9
96/446	Blue cone pigment 	Bcp	U49720	Bcp 	blue cone pigment
96/447	Protein tyrosine phosphate 	null	U49853	Ptpn18 	"protein tyrosine phosphatase, non-receptor type 18"
96/448	Type 1 deiodinase 	null	U49861	Dio1 	"iodothyronine 5' deiodinase, type I"
96/449	5E6 (5E6/Ly-49C) 	null	U49865	Ly49c 	"lymphocyte antigen 49 complex, locus C"
96/450	Mort 1 Fas-associated protein 	null	U50406	Fadd 	Fas-associating protein with death domain
96/451	RAB8 interacting protein 	Rab8ip	U50595	Rab8ip 	RAB8 interacting protein
96/452	Heat-responsive protein (HRP12)	null	U50631	Hrsp12	heat-responsive protein 12
96/453	Alpha-galactosidase 	Ags	U50716	Ags 	alpha-galactosidase
96/454	Maternal transcript (Mem4) 	null	U50734	Maid 	maternal inhibitation of differentiation
96/455	Prolidase (pep4)	null	U51014	Pep4	peptidase 4
96/456	11-zinc-finger transcription factor (CTCF) 	null	U51037	Ctcf 	CCCTC-binding factor
96/457	Isocitrate dehydrogenase 2 	Idh2	U51167	Idh2 	isocitrate dehydrogenase 2
96/458	APC-binding protein EB1 homolog 	null	U51196	Eb1 	adenomatosis polyposis coli binding protein Eb1
96/459	Lysosomal-associated protein transmembrane 5 	Laptm5	U51239	Laptm5 	lysosomal-associated protein transmembrane 5
96/460	Fcgamma RIIB 	null	U51629	Fcgr2b 	"Fc receptor, IgG, low affinity IIb"
96/461	Thioredoxin peroxidase (Tpx) 	null	U51679	Tdpx1 	thioredoxin peroxidase 1
96/462	Chemokine (C-C) receptor 2 	Cmkbr2	U51717	Cmkbr2 	chemokine (C-C) receptor 2
96/463	"Arginase 1, liver  "	Arg1	U51805	Arg1 	"arginase 1, liver"
96/464	Casein kinase II alpha subunit	null	U51866	Csnk2a1-rs4 	"casein kinase II, alpha 1, related sequence 4 "
96/465	TRAF family member associated Nf-kappa B activator 	Tank	U51907	Tank 	TRAF family member-associated Nf-kappa B activator
96/466	Interferon dependent positive acting transcription factor 3 gamma 	Isgf3g	U51992	Isgf3g 	interferon dependent positive acting transcription factor 3 gamma
96/467	Poly (A) polymerase III 	null	U52197	Plap 	poly (A) polymerase
96/468	Melatonin receptor 1A 	Mtnr1a	U52222	Mtnr1a 	melatonin receptor 1A
96/469	Ornithine decarboxylase antizyme 	null	U52822	Oaz 	ornithine decarboxylase antizyme
96/470	Tubby 	tub	U52824	tub 	tubby
96/471	Kidney-specific transport protein	null	U52842	Orctl1 	organic catronic transporter-like 1
96/472	B219/OB receptor MuB219 precursor 	null	U52915	Lepr 	leptin receptor
96/473	Tumor susceptibility gene 101 	Tsg101	U52945	tsg101 	tumor susceptibility gene 101
96/474	Enhancer of zeste homolog (Drosophila) 	Enx1h	U52951	Enx1h 	enhancer of zeste homolog (Drosophila)
96/475	Zuotin related factor 1 	Zrf1	U53208	Zrf1 	zuotin related factor 1
96/476	RAR-related orphan receptor alpha 	Rora	U53228	Rora 	RAR-related orphan receptor alpha
96/477	Rhotekin 	Rtkn	U54638	Rtkn 	rhotekin
96/478	"Ral guanine nucleotide dissociation stimulator, like 2  "	Rgl2	U54639	Rgl2 	"ral guanine nucleotide dissociation stimulator,-like 2"
96/479	Tumor supressor maspin 	null	U54705	Spi7 	serine protease inhibitor 7
96/480	14-3-3 eta protein 	null	U57311	Ywhah 	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"
96/481	14-3-3 theta protein 	null	U57312	Ywhaq 	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"
96/482	STONE14	null	U57413	Osi	oxidative stress induced	
96/483	Embryonal Fyn-associated substrate 	Efs	U57686	Efs 	embryonal Fyn-associated substrate	
96/484	Ubiquitin-conjugating enzyme E214K 	null	U57690	Ube2b 	ubiquitin-conjugating enzyme E2B (RAD6 homology)	
96/485	N-terminal asparagine amidohydrolase (Ntan1) 	null	U57692	Ntan1 	N-terminal Asn amidase	
96/486	Platelet-activating factor acetylhydrolase isoform I6 gamma subunit (PAF-AH gamma) 	null	U57746	Pafahg 	"platelet-activating factor acetylhydrolase, gamma subunit"	
96/487	Platelet-activating factor acetylhydrolase isoform I6 beta subunit (PAF-AH gamma) 	null	U57747	Pafahb 	"platelet-activating factor acetylhydrolase, beta subunit"	
96/488	"Glutamate receptor, ionotropic, NMDA1 (zeta 1)  "	Grin1	D10028	Grin1 	"glutamate receptor, ionotropic, NMDA1 (zeta 1)"	
96/489	"Glutamate receptor, ionotropic, kainate 2 (beta 2)  "	Grik2	D10054	Grik2 	"glutamate receptor, ionotropic, kainate 2 (beta 2)"	
96/490	"Glutamate receptor, ionotropic, delta 1  "	Grid1	D10171	Grid1 	"glutamate receptor, ionotropic, delta 1"	
96/491	Prostaglandin E receptor EP3 subtype 	Ptgerep3	D10204	Ptgerep3 	prostaglandin E receptor EP3 subtype	
96/493	"Glutamate receptor, ionotropic, NMDA2C (epsilon 3)  "	Grin2c	D10694	Grin2c 	"glutamate receptor, ionotropic, NMDA2C (epsilon 3)"	
96/494	Thromboxane A2 receptor 	Tbxa2r	D10849	Tbxa2r 	thromboxane A2 receptor	
96/495	"Glutamate receptor, ionotropic, NMDA2D (epsilon 4)  "	Grin2d	D12822	Grin2d 	"glutamate receptor, ionotropic, NMDA2D (epsilon 4)"	
96/496	Rat mRNA for adenylate kinase 2	null	D13061	Ak2	adenylate kinase 2	
96/497	Glutamate receptor channel delta 2 subunit	null	D13062	Sequence not in MGD		Rat sequence.  On CD - EP FAIL
96/498	Glutamate receptor channel delta 2 subunit 	null	D13266	Grid2 	"glutamate receptor, ionotropic, delta 2"	
96/499	Prostaglandin E receptor EP3 subtype 	Ptgerep3	D13321	Ptgerep3 	prostaglandin E receptor EP3 subtype	
96/500	Rat mRNA for adenylate kinase 1	null	D13376	Sequence not in MGD		Rat sequence.  On CD and Word document - EP FAIL
96/501	Prostaglandin E receptor EP1 subtype 	Ptgerep1	D16338	Ptgerep1 	prostaglandin E receptor EP1 subtype	
96/502	Prostaglandin E receptor EP3 subtype 	Ptgerep3	D17406	Ptgerep3 	prostaglandin E receptor EP3 subtype	
96/503	Tachykinin 1 	Tac1	D17584	Tac1 	tachykinin 1	
96/504	Prostaglandin I receptor (IP) 	Ptgir	D26157	Ptgir 	prostaglandin I receptor (IP)	
96/505	Prostaglandin D receptor 	Ptgdr	D29764	Ptgdr 	prostaglandin D receptor	
96/506	Prostaglandin E receptor EP2 subtype 	Ptgerep2	D50589	Ptgerep2 	prostaglandin E receptor EP2 subtype	
96/507	Humiria balsaminifera chloroplast ribulosebisphosphate carboxylase (rbcL) gene	null	L01926	Sequence not in MGD		Plant sequence.  On CD and Word document - EP FAIL
96/508	"Opioid receptor, delta 1  "	Oprd1	L11064	Oprd1 	"opioid receptor, delta 1"	
96/509	5' nucleotidase 	Nt5	L12059	Nt5 	5' nucleotidase	
96/510	G-protein coupled receptor 2 	Gpcr2	L20331	Gpcr2 	G-protein coupled receptor 2	
96/511	"Brain substance P, NK-1 receptor  "	null	L27826	Tac1r 	tachykinin 1 receptor	
96/512	"AMPA receptor subunit (GluR-B) gene, 2 alternative transcripts  "	null	L32372	Gria2 	"glutamate receptor, ionotropic, AMPA2 (alpha 2)"	
96/513	AMPD1	null	M58688	Sequence not in MGD		Rat sequence.  On CD and Word document - EP FAIL
96/514	"Phospholipase C, alpha  "	Plca	M73329	Erp 	endoplasmic reticulum protein	
96/515	Glucocorticoid induced receptor 	Gir	M80481	Gir 	glucocorticoid induced receptor	
96/516	Rat adenylyl cyclase type (IV)	null	M80633	Adcy4	adenylate cyclase 4	
96/517	"Rattus norvegicus adenylyl cyclase type V mRNA, 3' end."	null	M96159	Adcy5	adenylate cyclase 5	
96/518	"Actinobacillus pleuropneumoniae K17 RTX-1 toxin determinant (apxIA) gene, complete cds. "	null	U04954	Sequence not in MGD		Bacteria sequence.  On CD and Word document - No Data
96/519	Opioid receptor-like 	Oprl	U09421	Oprl 	opioid receptor-like	
96/520	"Opioid receptor, kappa 1  "	Oprk1	U16998	Oprk1	"opioid receptor, kappa 1"	
96/521	Metabotropic glutamate receptor 8 (mGluR8) 	null	U17252	Grm8 	"glutamate receptor, metabotropic 8"	
96/522	Cannabinoid receptor 1 (brain) 	Cnr1	U17985	Cnr1 	cannabinoid receptor 1 (brain)	
96/523	Testis-specific low molecular weight phospholipase A2 	null	U18119	Pla2g2c 	"phospholipase A2, group IIC"	
96/524	"Opioid receptor, mu  "	Oprm	U19380	Oprm 	"opioid receptor, mu"	
96/525	"Phospholipase A2, group IIA (platelets, synovial fluid)  "	Pla2g2a	U28244	Pla2g2a 	"phospholipase A2, group IIA (platelets, synovial fluid)"	
